Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
120,tt4827558,4/21/2019,4/21/2019,Not in theater.,High Life,https://www.imdb.com/title/tt4827558/,movie,5.9,113,2018,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",20941,9/9/2018,Claire Denis
121,tt4463894,6/14/2019,6/14/2019,,Shaft,https://www.imdb.com/title/tt4463894/,movie,6.4,111,2019,"Action, Comedy, Crime",35505,6/14/2019,Tim Story
122,tt4913966,4/26/2019,4/26/2019,,The Curse of la Llorona,https://www.imdb.com/title/tt4913966/,movie,5.4,93,2019,"Horror, Mystery, Thriller",28593,3/15/2019,Michael Chaves
123,tt2452244,2/18/2019,2/18/2019,,Isn't It Romantic,https://www.imdb.com/title/tt2452244/,movie,5.9,89,2019,"Comedy, Fantasy, Romance",54109,2/11/2019,Todd Strauss-Schulson
124,tt8364368,7/14/2019,7/14/2019,,Crawl,https://www.imdb.com/title/tt8364368/,movie,6.2,87,2019,"Action, Drama, Horror, Thriller",45078,7/10/2019,Alexandre Aja
125,tt4975920,3/8/2019,3/8/2019,,The Kid,https://www.imdb.com/title/tt4975920/,movie,5.9,100,2019,"Biography, Drama, Western",5049,3/8/2019,Vincent D'Onofrio
126,tt5941692,2/1/2019,2/1/2019,,Miss Bala,https://www.imdb.com/title/tt5941692/,movie,5.7,104,2019,"Action, Crime, Drama, Thriller",6340,1/25/2019,Catherine Hardwicke
127,tt4504044,2/12/2019,2/12/2019,,The Prodigy,https://www.imdb.com/title/tt4504044/,movie,5.8,92,2019,"Horror, Thriller",18571,2/6/2019,Nicholas McCarthy
128,tt6803212,8/31/2019,8/31/2019,,Don't Let Go,https://www.imdb.com/title/tt6803212/,movie,6.1,103,2019,"Drama, Horror, Mystery, Thriller",2688,1/27/2019,Jacob Estes
129,tt8743064,6/17/2019,6/17/2019,Not in theater.,See You Yesterday,https://www.imdb.com/title/tt8743064/,movie,5,84,2019,"Action, Adventure, Crime, Drama, Sci-Fi, Thriller",7264,5/3/2019,Stefon Bristol
130,tt6428676,3/19/2019,3/19/2019,,Wonder Park,https://www.imdb.com/title/tt6428676/,movie,5.8,85,2019,"Animation, Adventure, Comedy, Family, Fantasy",7528,3/13/2019,Dylan Brown
131,tt7752126,5/24/2019,5/24/2019,,Brightburn,https://www.imdb.com/title/tt7752126/,movie,6.2,90,2019,"Drama, Horror, Mystery, Sci-Fi",60253,5/9/2019,David Yarovesky
132,tt1488606,3/17/2019,3/17/2019,Not in theater.,Triple Frontier,https://www.imdb.com/title/tt1488606/,movie,6.5,125,2019,"Action, Adventure, Crime, Drama, Thriller",90095,3/6/2019,J.C. Chandor
133,tt7390646,10/25/2019,10/25/2019,,Black and Blue,https://www.imdb.com/title/tt7390646/,movie,6.1,108,2019,"Action, Crime, Drama, Thriller",6737,9/21/2019,Deon Taylor
134,tt8323104,3/16/2019,3/16/2019,,Nancy Drew and the Hidden Staircase,https://www.imdb.com/title/tt8323104/,movie,5.7,89,2019,"Comedy, Crime, Drama, Family, Mystery",2529,3/15/2019,Katt Shea
135,tt8085790,4/18/2019,4/18/2019,,Little,https://www.imdb.com/title/tt8085790/,movie,5.4,109,2019,"Comedy, Fantasy, Romance",8187,4/11/2019,Tina Gordon
